"Tree_ID","strata","logger_num","date_placed","time_placed","date_removed","time_removed"
"M1","C","17",2018-05-24,1899-12-31 22:00:00,2018-06-28,1899-12-31 15:40:00
"M1","G","16",2018-05-24,1899-12-31 22:00:00,2018-06-28,1899-12-31 15:40:00
"M1","S","NA",2018-05-24,1899-12-31 22:00:00,2018-06-28,1899-12-31 15:40:00
"BR2","C","19",2018-05-26,1899-12-31 22:00:00,2018-06-28,1899-12-31 13:30:00
"BR2","G","7",2018-05-26,1899-12-31 22:00:00,2018-06-28,1899-12-31 13:30:00
"BR5","C","6",2018-05-30,1899-12-31 21:30:00,2018-06-28,1899-12-31 13:30:00
"BR5","G","11",2018-05-30,1899-12-31 21:30:00,2018-06-28,1899-12-31 13:30:00
"M8","C","18",2018-06-01,1899-12-31 21:35:00,2018-06-28,1899-12-31 16:10:00
"M8","G","10",2018-06-01,1899-12-31 21:35:00,2018-06-28,1899-12-31 16:10:00
"MAT_1","C","4",2018-06-04,1899-12-31 16:00:00,2018-06-28,1899-12-31 18:30:00
"MAT_2","C","3",2018-06-04,1899-12-31 16:00:00,2018-06-28,1899-12-31 18:30:00
